deal_id,company_name,industry,lead_source,deal_value,stage,created_date,close_date,sales_rep,region,next_step,probability,sales_cycle_days
DEAL-0444,Bumb-Gala,E-Commerce,Cold Outreach,159291.28,Negotiation,2022-02-12,2022-05-13,Priya Nair,West,Pricing Discussion,60,90.0
DEAL-0617,Som Ltd,E-Commerce,Linkedin,8010.58,Qualified,2022-02-21,2022-07-13,Arjun Pillai,North,Pricing Discussion,30,142.0
DEAL-0241,Sura-Rai,EdTech,Cold Outreach,195135.59,Closed Won,2022-01-09,2022-10-06,Riya Sharma,East,Technical Eval,70,270.0
DEAL-0537,Raman-Jayaraman,SaaS,Cold Outreach,163983.25,Negotiation,2023-06-04,2023-11-07,Sonal Joshi,North,Stakeholder Meeting,30,156.0
DEAL-0543,Behl Inc,Healthcare,Linkedin,24094.99,Prospecting,2023-12-15,2024-01-07,Riya Sharma,East,,50,23.0
DEAL-0337,"Sethi, Nadkarni and Sarin",Real Estate,Linkedin,71418.29,Prospecting,2023-02-18,,Priya Nair,North,Pricing Discussion,50,
DEAL-0291,"Kalla, Raval and Deep",Retail,Event,77322.11,Qualified,2022-04-06,2022-07-11,Riya Sharma,West,,10,96.0
DEAL-0413,Dara PLC,Real Estate,Linkedin,101593.12333333335,Closed Won,2022-09-15,2022-10-18,Arjun Pillai,South,Contract Review,100,33.0
DEAL-0630,Hari-Rana,IT Services,Referral,219862.85,Negotiation,2023-09-20,,Priya Nair,North,,50,
DEAL-0330,"Bhakta, Jaggi and Nayar",E-Commerce,Inbound,161003.28,Prospecting,2022-03-24,2022-07-28,Neha Gupta,West,,80,126.0
DEAL-0251,Bava LLC,Real Estate,Linkedin,141183.41,Negotiation,2022-09-06,2022-12-22,Riya Sharma,East,Send Proposal,80,107.0
DEAL-0055,Zachariah and Sons,Real Estate,Inbound,89615.79,Closed Lost,2023-07-20,2023-12-30,Arjun Pillai,West,Stakeholder Meeting,20,163.0
DEAL-0465,"Chaudhry, Gola and Zacharia",EdTech,Website,108644.5,Qualified,2022-12-07,,Aman Verma,North,,80,
DEAL-0421,"Sule, Sharaf and Bali",Manufacturing,Cold Outreach,200076.61,Prospecting,2022-08-12,,Sonal Joshi,South,Contract Review,90,
DEAL-0134,Pandey-Dutta,SaaS,Referral,219390.12000000002,Prospecting,2022-02-18,2022-07-19,Priya Nair,West,,10,151.0
DEAL-0387,Bhat-Bains,EdTech,Cold Outreach,211195.28,Proposal Sent,2023-09-19,2024-02-18,Arjun Pillai,East,Contract Review,100,152.0
DEAL-0137,"Sachdev, Gokhale and Dhillon",Manufacturing,Linkedin,57426.77,Closed Won,2023-10-05,2024-03-15,Karan Mehta,East,Schedule Demo,80,162.0
DEAL-0110,"Doctor, Oza and Choudhry",IT Services,Cold Email,51742.16,Discovery,2022-11-19,,Sonal Joshi,North,,50,
DEAL-0363,Mitter-Madan,Retail,Linkedin,42797.84,Proposal Sent,2023-04-14,2023-05-21,Aman Verma,West,Follow Up Call,10,37.0
DEAL-0213,"Purohit, Savant and Dutta",Real Estate,Referral,19762.63,Negotiation,2023-11-19,2024-02-19,Karan Mehta,South,Contract Review,60,92.0
DEAL-0345,Chaudhary-Basu,IT Services,Website,143840.5,Qualified,2022-03-25,2022-05-18,Riya Sharma,North,,50,54.0
DEAL-0133,Kamdar-Bir,Real Estate,Linkedin,40886.65,Closed Lost,2022-04-04,2022-05-24,Arjun Pillai,West,,90,50.0
DEAL-0250,Soman-Oza,Healthcare,Inbound,47907.63,Negotiation,2023-04-30,2023-05-30,Deepak Rao,South,Technical Eval,20,30.0
DEAL-0357,"Muni, Karan and Deshmukh",Healthcare,Event,140494.24,Closed Won,2022-09-29,2022-10-20,Sonal Joshi,South,Pricing Discussion,30,21.0
DEAL-0584,Swaminathan and Sons,Real Estate,Cold Email,179594.12,Proposal Sent,2022-08-29,2022-09-12,Karan Mehta,East,Schedule Demo,60,14.0
DEAL-0646,Bhavsar and Sons,SaaS,Partner,107854.88,Discovery,2022-10-09,2022-10-25,Arjun Pillai,North,Follow Up Call,40,16.0
DEAL-0138,Bora Group,FinTech,Website,71427.52,Closed Lost,2022-06-13,2022-07-01,Neha Gupta,East,,90,18.0
DEAL-0528,"Wadhwa, Banik and Gandhi",Healthcare,Cold Email,209992.03,Closed Lost,2023-03-18,2023-09-03,Deepak Rao,West,,60,169.0
DEAL-0077,Om Inc,E-Commerce,Linkedin,16084.39,Closed Won,2023-01-15,2023-03-12,Aman Verma,West,Stakeholder Meeting,40,56.0
DEAL-0483,Deep PLC,EdTech,Website,138061.01,Closed Won,2022-01-25,2022-07-02,Priya Nair,North,Pricing Discussion,20,158.0
DEAL-0278,Dhillon PLC,EdTech,Inbound,177423.3,Closed Lost,2023-03-09,2023-04-23,Arjun Pillai,West,,70,45.0
DEAL-0091,Kuruvilla Inc,E-Commerce,Partner,41490.46,Qualified,2022-06-17,2022-09-29,Priya Nair,South,Contract Review,30,104.0
DEAL-0479,"Nazareth, Edwin and Ravi",Retail,Inbound,75724.23,Qualified,2022-12-25,,Aman Verma,North,Stakeholder Meeting,60,
DEAL-0011,Rege-Barad,IT Services,Linkedin,176553.72,Discovery,2022-03-31,2022-04-15,Sonal Joshi,South,Technical Eval,100,15.0
DEAL-0064,Goel PLC,Healthcare,Website,181676.47,Closed Lost,2022-02-16,2022-06-23,Priya Nair,North,Follow Up Call,10,127.0
DEAL-0457,Subramanian LLC,SaaS,Website,32576.75,Negotiation,2023-09-28,,Priya Nair,South,Send Proposal,100,
DEAL-0550,Cherian Inc,E-Commerce,Inbound,30284.38,Closed Won,2023-01-24,2023-03-12,Deepak Rao,West,Follow Up Call,30,47.0
DEAL-0581,Srinivas-Raju,Logistics,Inbound,8379.39,Closed Won,2023-09-27,2023-12-07,Riya Sharma,South,Pricing Discussion,20,71.0
DEAL-0578,Balasubramanian Group,Manufacturing,Inbound,138857.27,Closed Won,2023-06-12,2023-11-16,Aman Verma,North,Schedule Demo,50,157.0
DEAL-0032,"Rajan, Vala and Narayan",Retail,Cold Outreach,132129.96,Negotiation,2022-01-07,2022-05-04,Priya Nair,South,,20,117.0
DEAL-0221,Atwal-Koshy,Healthcare,Referral,242005.97,Proposal Sent,2022-08-19,2023-01-02,Neha Gupta,North,Technical Eval,60,136.0
DEAL-0078,"Sem, Devi and Bail",Real Estate,Partner,282250.44,Closed Won,2022-12-30,2023-09-04,Neha Gupta,West,Schedule Demo,30,248.0
DEAL-0370,Chadha-Gill,Healthcare,Cold Outreach,30306.77,Closed Won,2022-04-13,2022-07-29,Karan Mehta,West,Follow Up Call,100,107.0
DEAL-0575,Radhakrishnan and Sons,Real Estate,Referral,7956.42,Discovery,2023-11-06,,Deepak Rao,South,Stakeholder Meeting,100,
DEAL-0211,"Edwin, Chaudry and Vora",Manufacturing,Partner,22892.23,Closed Won,2022-11-16,2023-02-22,Deepak Rao,East,,20,98.0
DEAL-0056,Lall Inc,Manufacturing,Linkedin,191362.92,Negotiation,2022-10-28,2023-03-31,Priya Nair,South,,40,154.0
DEAL-0136,Nanda LLC,E-Commerce,Linkedin,165713.15,Prospecting,2022-06-06,,Neha Gupta,North,,60,
DEAL-0312,Bhardwaj Inc,Manufacturing,Linkedin,123160.23636363637,Negotiation,2022-08-06,2022-10-22,Riya Sharma,East,Schedule Demo,30,77.0
DEAL-0228,Bose and Sons,EdTech,Partner,181178.02,Closed Won,2023-08-26,2023-12-18,Sonal Joshi,West,Schedule Demo,90,114.0
DEAL-0003,Singhal-Datta,Retail,Referral,38253.46,Qualified,2022-01-26,2022-04-05,Neha Gupta,North,Schedule Demo,80,69.0
DEAL-0632,Pradhan Group,SaaS,Cold Outreach,26164.45,Proposal Sent,2023-03-13,2023-05-02,Aman Verma,North,Schedule Demo,60,50.0
DEAL-0082,"Prabhu, Aggarwal and Halder",Real Estate,Inbound,157694.19,Proposal Sent,2023-12-20,2024-05-10,Neha Gupta,East,Schedule Demo,20,142.0
DEAL-0381,"Mody, Mital and Dey",Real Estate,Partner,913942.81,Negotiation,2022-10-19,2023-01-17,Priya Nair,South,Follow Up Call,10,90.0
DEAL-0347,Kakar-Toor,FinTech,Linkedin,99042.32,Negotiation,2023-11-05,2023-12-18,Aman Verma,North,Technical Eval,80,43.0
DEAL-0648,Iyengar-Gour,Manufacturing,Referral,919737.91,Prospecting,2022-03-21,2022-08-21,Priya Nair,West,Pricing Discussion,20,153.0
DEAL-0121,"Vaidya, Nanda and Chowdhury",SaaS,Cold Outreach,171782.74,Closed Won,2023-07-29,2023-08-29,Neha Gupta,South,,70,31.0
DEAL-0597,Johal-Patel,Real Estate,Referral,19691.31,Closed Won,2023-03-01,2023-08-22,Aman Verma,South,Contract Review,10,174.0
DEAL-0248,"Sharaf, Dube and Sarin",EdTech,Linkedin,72412.71,Prospecting,2023-08-08,2024-01-09,Riya Sharma,West,Technical Eval,40,154.0
DEAL-0560,Madan-Trivedi,Manufacturing,Linkedin,39303.22,Closed Won,2022-10-21,2023-04-15,Karan Mehta,East,Schedule Demo,60,176.0
DEAL-0280,Sahota Ltd,Logistics,Linkedin,74349.5,Closed Won,2022-10-13,2023-01-10,Neha Gupta,West,Follow Up Call,90,89.0
DEAL-0622,"Basu, Gopal and Ramesh",Retail,Referral,179935.1,Prospecting,2022-05-17,,Arjun Pillai,West,,50,
DEAL-0132,"Andra, Ramachandran and Goswami",Real Estate,Cold Outreach,89558.0,Closed Won,2023-05-21,2023-08-06,Riya Sharma,West,Stakeholder Meeting,40,77.0
DEAL-0303,Narang-Gera,IT Services,Referral,185814.97625,Negotiation,2023-04-02,2023-06-14,Sonal Joshi,West,Follow Up Call,60,73.0
DEAL-0061,Dara LLC,Real Estate,Partner,216720.14,Proposal Sent,2022-07-16,2022-11-28,Deepak Rao,West,,50,135.0
DEAL-0149,"Srinivasan, Murty and Mohanty",Manufacturing,Cold Outreach,190198.21,Closed Won,2023-07-21,2023-10-17,Riya Sharma,North,Technical Eval,100,88.0
DEAL-0031,"Panchal, Ramesh and Sura",Healthcare,Cold Outreach,60240.22,Discovery,2022-10-12,2023-01-27,Karan Mehta,East,Pricing Discussion,30,107.0
DEAL-0070,"Bhattacharyya, Rajagopalan and Halder",FinTech,Inbound,147919.31,Closed Lost,2022-04-14,2022-09-22,Arjun Pillai,North,Contract Review,20,161.0
DEAL-0498,Dua Ltd,Manufacturing,Cold Outreach,144668.21,Discovery,2022-01-29,2022-02-21,Arjun Pillai,West,Send Proposal,30,23.0
DEAL-0224,"Shroff, Pai and Kala",E-Commerce,Inbound,854.08,Prospecting,2022-01-22,2022-02-26,Arjun Pillai,West,Schedule Demo,70,35.0
DEAL-0531,Lad-Kota,E-Commerce,Partner,248000.37,Prospecting,2022-05-12,2023-02-13,Neha Gupta,North,Technical Eval,50,277.0
DEAL-0071,Rajagopalan Inc,Manufacturing,Inbound,91122.4309090909,Closed Won,2023-01-25,2023-04-07,Priya Nair,South,,80,72.0
DEAL-0183,Thakkar-Din,EdTech,Cold Email,168607.6,Negotiation,2023-05-16,2023-09-30,Priya Nair,West,Schedule Demo,40,137.0
DEAL-0165,Jayaraman and Sons,FinTech,Cold Outreach,222868.69,Closed Lost,2023-05-28,2023-08-17,Aman Verma,South,Send Proposal,10,81.0
DEAL-0514,Seshadri-Narang,EdTech,Referral,188701.58,Negotiation,2023-01-30,,Karan Mehta,North,Follow Up Call,80,
DEAL-0474,"Cheema, Bedi and Choudhry",SaaS,Inbound,105237.92,Qualified,2022-02-09,2022-05-07,Aman Verma,North,Send Proposal,20,87.0
DEAL-0502,Ganguly-Raja,Real Estate,Inbound,131031.67,Closed Won,2023-08-18,2023-11-08,Arjun Pillai,South,Technical Eval,30,82.0
DEAL-0324,"Mittal, Saran and Ramachandran",Healthcare,Partner,175822.9,Closed Won,2023-04-05,2023-07-13,Arjun Pillai,North,,40,99.0
DEAL-0249,Chaudhary PLC,Retail,Cold Outreach,149958.44,Negotiation,2023-08-14,2023-10-09,Sonal Joshi,West,Stakeholder Meeting,100,56.0
DEAL-0319,Narang-Rastogi,IT Services,Cold Outreach,133474.42,Qualified,2022-03-04,,Deepak Rao,West,Contract Review,90,
DEAL-0066,"Behl, Bakshi and Srivastava",Logistics,Cold Outreach,119369.7,Negotiation,2022-08-22,2023-12-01,Priya Nair,East,Schedule Demo,80,466.0
DEAL-0389,Chatterjee-Agarwal,Healthcare,Cold Outreach,110500.97,Negotiation,2023-06-26,2023-11-26,Karan Mehta,South,Technical Eval,80,153.0
DEAL-0050,Mander-Reddy,Healthcare,Cold Outreach,116118.31,Closed Won,2023-04-16,2023-07-31,Deepak Rao,North,Stakeholder Meeting,100,106.0
DEAL-0119,"Mistry, Sule and Bassi",Retail,Event,135616.13,Closed Won,2022-05-23,2022-06-15,Neha Gupta,North,Schedule Demo,50,23.0
DEAL-0265,"Rai, Wali and Bassi",Manufacturing,Website,95913.99,Negotiation,2023-01-11,,Neha Gupta,North,Contract Review,40,
DEAL-0040,"Bassi, Bail and Dutta",FinTech,Referral,231362.78,Negotiation,2022-11-12,2022-12-26,Arjun Pillai,South,,60,44.0
DEAL-0623,Gill Inc,Real Estate,Inbound,60006.25,Closed Won,2023-04-21,2023-07-15,Arjun Pillai,South,Contract Review,90,85.0
DEAL-0193,"Bali, Lala and Bhattacharyya",Real Estate,Cold Outreach,201488.77,Negotiation,2022-03-29,2022-05-07,Priya Nair,West,,100,39.0
DEAL-0007,Gade PLC,Real Estate,Website,246710.79,Closed Lost,2022-05-23,2022-09-16,Priya Nair,North,Technical Eval,90,116.0
DEAL-0102,Chacko-Chahal,FinTech,Referral,151242.86,Qualified,2022-08-23,2022-09-27,Neha Gupta,East,Send Proposal,80,35.0
DEAL-0156,"Lad, Pau and Bhatti",Manufacturing,Cold Email,233811.04,Discovery,2023-10-19,,Priya Nair,West,Send Proposal,60,
DEAL-0453,Trivedi-Rao,Manufacturing,Cold Outreach,32918.97,Negotiation,2022-04-16,2022-08-06,Riya Sharma,East,Technical Eval,30,112.0
DEAL-0232,Kale-Balan,IT Services,Referral,192545.03,Proposal Sent,2023-12-26,2024-04-15,Aman Verma,North,Contract Review,100,111.0
DEAL-0200,Venkataraman LLC,Retail,Partner,136481.74,Closed Lost,2023-05-02,2023-06-18,Aman Verma,North,,100,47.0
DEAL-0529,"Modi, Zacharia and Kant",Logistics,Referral,190858.5881818182,Closed Won,2022-03-13,2022-04-05,Neha Gupta,West,,60,23.0
DEAL-0146,"Guha, Jaggi and Sankar",Logistics,Cold Outreach,244588.12,Closed Lost,2023-04-25,2023-12-06,Karan Mehta,South,Follow Up Call,30,225.0
DEAL-0351,"Ben, Ben and Doctor",E-Commerce,Linkedin,99694.79222222224,Discovery,2022-11-20,2022-12-13,Arjun Pillai,North,,80,23.0
DEAL-0482,Ram-Deshpande,Manufacturing,Inbound,145314.94,Proposal Sent,2022-08-17,2023-03-01,Aman Verma,South,Contract Review,100,196.0
DEAL-0214,Saxena-Bhatia,Manufacturing,Linkedin,246603.63,Discovery,2023-10-28,2024-01-07,Sonal Joshi,West,Send Proposal,20,71.0
DEAL-0085,"Subramanian, Reddy and Iyer",IT Services,Referral,246762.98,Closed Won,2022-03-15,2022-05-25,Riya Sharma,South,,50,71.0
DEAL-0496,Buch Ltd,Retail,Event,155957.04,Closed Lost,2023-04-07,2023-10-21,Aman Verma,South,Send Proposal,90,197.0
DEAL-0087,Sawhney Inc,Logistics,Cold Outreach,1403694.43,Closed Lost,2023-10-13,2024-02-14,Aman Verma,North,Send Proposal,10,124.0
DEAL-0358,Sule Group,SaaS,Referral,50505.77,Negotiation,2023-02-10,2023-08-07,Aman Verma,West,Schedule Demo,60,178.0
DEAL-0297,"Bala, Narain and Sampath",Retail,Cold Outreach,117903.1,Qualified,2022-08-07,2022-11-26,Aman Verma,North,Technical Eval,30,111.0
DEAL-0438,Kohli-Sekhon,Retail,Inbound,10533.35,Closed Lost,2023-01-14,2023-06-09,Sonal Joshi,West,Contract Review,20,146.0
DEAL-0042,"Basu, Gera and Raman",SaaS,Partner,24899.6,Qualified,2022-05-04,2022-05-14,Deepak Rao,East,Schedule Demo,80,10.0
DEAL-0109,"Dua, Dara and Nigam",Real Estate,Partner,145279.72,Proposal Sent,2023-04-08,2023-12-17,Sonal Joshi,East,Technical Eval,30,253.0
DEAL-0645,"Grover, Nanda and Atwal",Real Estate,Partner,55272.62,Closed Lost,2022-09-02,2022-11-14,Sonal Joshi,West,,80,73.0
DEAL-0057,"Munshi, Narayan and Kashyap",E-Commerce,Website,31015.06,Qualified,2023-10-06,2024-01-12,Riya Sharma,West,Technical Eval,60,98.0
DEAL-0512,Sood Ltd,FinTech,Referral,23501.49,Negotiation,2023-06-08,2023-09-10,Priya Nair,South,Technical Eval,50,94.0
DEAL-0025,Behl and Sons,IT Services,Linkedin,8961.84,Prospecting,2023-12-20,,Neha Gupta,East,,40,
DEAL-0159,"Sane, Kibe and Kuruvilla",E-Commerce,Inbound,188505.78,Discovery,2022-10-28,,Sonal Joshi,West,,30,
DEAL-0522,"Sane, Kashyap and Kuruvilla",E-Commerce,Inbound,207087.67,Qualified,2023-06-17,2023-11-12,Arjun Pillai,West,Contract Review,100,148.0
DEAL-0111,"Anne, Yadav and Bedi",Manufacturing,Cold Outreach,107601.17,Discovery,2022-06-08,,Arjun Pillai,South,Stakeholder Meeting,50,
DEAL-0083,"Anne, Cheema and Kuruvilla",Manufacturing,Inbound,36522.53,Negotiation,2023-01-12,2024-01-01,Karan Mehta,West,Send Proposal,100,354.0
DEAL-0052,Chandra Inc,Retail,Referral,118788.33,Qualified,2022-08-05,,Riya Sharma,West,Send Proposal,40,
DEAL-0219,Mallick LLC,Logistics,Referral,114891.6,Proposal Sent,2022-05-04,2022-10-30,Riya Sharma,South,,60,179.0
DEAL-0558,Kannan-Mitter,Retail,Partner,155938.62,Closed Lost,2022-01-01,2022-01-18,Priya Nair,West,Pricing Discussion,70,17.0
DEAL-0450,"Goda, Chana and Bali",SaaS,Cold Email,200021.97,Closed Won,2023-11-30,2024-11-03,Karan Mehta,West,Send Proposal,100,339.0
DEAL-0637,Chopra-Dey,SaaS,Cold Outreach,195092.06,Negotiation,2023-04-06,2023-07-18,Sonal Joshi,North,Follow Up Call,80,103.0
DEAL-0327,Nori-Dua,E-Commerce,Linkedin,164224.14,Closed Won,2022-06-11,2022-12-03,Neha Gupta,North,Contract Review,70,175.0
DEAL-0538,Wable Group,SaaS,Referral,219390.12000000002,Qualified,2022-11-13,2023-03-21,Neha Gupta,South,Follow Up Call,100,128.0
DEAL-0019,"De, Jani and Kota",FinTech,Website,180648.73,Negotiation,2023-06-02,2023-06-19,Deepak Rao,South,Schedule Demo,60,17.0
DEAL-0437,Mital Group,FinTech,Linkedin,108360.1825,Closed Won,2022-02-06,2022-04-01,Karan Mehta,West,,100,54.0
DEAL-0638,Rai-Wable,Logistics,Cold Email,138907.01,Negotiation,2022-09-23,2023-02-25,Riya Sharma,North,Pricing Discussion,20,155.0
DEAL-0614,Chauhan-Zachariah,E-Commerce,Inbound,170159.51,Qualified,2023-12-14,2024-03-31,Arjun Pillai,East,Technical Eval,50,108.0
DEAL-0062,"Hayre, Sangha and Jhaveri",E-Commerce,Cold Email,240858.03,Discovery,2023-12-23,,Aman Verma,East,Technical Eval,50,
DEAL-0513,Naidu LLC,E-Commerce,Cold Outreach,193376.64,Closed Lost,2022-04-29,2022-09-20,Neha Gupta,West,Stakeholder Meeting,60,144.0
DEAL-0399,Gandhi-Chana,SaaS,Cold Outreach,53951.01,Discovery,2022-04-20,2022-09-19,Sonal Joshi,North,Contract Review,30,152.0
DEAL-0182,Sen PLC,Manufacturing,Cold Outreach,93090.26,Prospecting,2022-11-28,2023-03-10,Neha Gupta,North,,100,102.0
DEAL-0517,Rastogi Inc,Healthcare,Cold Outreach,217882.4,Discovery,2022-09-18,2022-11-21,Neha Gupta,East,,20,64.0
DEAL-0536,Mander PLC,Logistics,Cold Outreach,25193.03,Closed Won,2022-11-04,2023-01-02,Riya Sharma,East,,10,59.0
DEAL-0328,"Wason, Mital and Barad",Manufacturing,Inbound,91122.4309090909,Proposal Sent,2022-02-28,2022-06-19,Riya Sharma,North,Schedule Demo,100,111.0
DEAL-0435,Sama and Sons,Healthcare,Cold Outreach,115849.56,Proposal Sent,2022-02-06,2022-07-12,Arjun Pillai,South,Follow Up Call,100,156.0
DEAL-0405,"Hari, Prabhakar and Khurana",Manufacturing,Cold Outreach,199786.18,Discovery,2022-04-08,2022-10-21,Karan Mehta,North,Stakeholder Meeting,40,196.0
DEAL-0383,"Mukhopadhyay, Ganesan and Chopra",FinTech,Inbound,236334.46,Qualified,2023-03-25,2023-08-03,Arjun Pillai,West,Pricing Discussion,90,131.0
DEAL-0341,"Srinivasan, Kadakia and Hayre",Real Estate,Linkedin,8836.23,Prospecting,2023-08-16,2024-01-25,Sonal Joshi,North,Schedule Demo,20,162.0
DEAL-0307,Mahajan-Pant,Healthcare,Cold Email,157967.10749999998,Proposal Sent,2023-03-10,2023-04-05,Karan Mehta,East,Technical Eval,10,26.0
DEAL-0429,Trivedi-Bhalla,Real Estate,Partner,230534.15,Closed Won,2023-03-14,2023-10-09,Arjun Pillai,North,,90,209.0
DEAL-0507,Kapoor PLC,Manufacturing,Linkedin,37509.26,Prospecting,2023-03-21,2023-06-28,Sonal Joshi,North,Send Proposal,10,99.0
DEAL-0361,Bose PLC,Logistics,Inbound,23009.14,Negotiation,2023-10-23,,Riya Sharma,South,Stakeholder Meeting,30,
DEAL-0216,"Radhakrishnan, Bahl and Borah",Manufacturing,Event,38180.07,Closed Won,2023-03-25,2023-07-18,Priya Nair,East,,70,115.0
DEAL-0635,"Mammen, Menon and Grover",FinTech,Referral,64433.08,Closed Won,2022-12-06,,Aman Verma,South,Follow Up Call,100,
DEAL-0394,"Mangat, Khare and Gole",Healthcare,Website,83188.73,Proposal Sent,2023-11-11,2024-04-22,Riya Sharma,West,Schedule Demo,90,163.0
DEAL-0175,Merchant and Sons,Logistics,Event,103204.15,Proposal Sent,2022-06-06,,Sonal Joshi,West,Technical Eval,60,
DEAL-0406,Munshi-Radhakrishnan,IT Services,Inbound,39098.89,Closed Won,2022-12-18,,Riya Sharma,North,Stakeholder Meeting,30,
DEAL-0164,Kothari Ltd,FinTech,Website,162121.54,Discovery,2022-09-27,2023-03-22,Priya Nair,West,Follow Up Call,90,176.0
DEAL-0285,"Srivastava, Srinivasan and Manda",Real Estate,Event,83457.15,Closed Won,2023-07-18,2023-08-30,Neha Gupta,North,Pricing Discussion,40,43.0
DEAL-0276,Dugal-Sarna,Logistics,Referral,187985.41,Qualified,2023-05-04,2023-06-02,Deepak Rao,South,Schedule Demo,70,29.0
DEAL-0105,"Palla, Arya and Kala",Logistics,Linkedin,17582.02,Discovery,2023-02-15,2023-11-07,Aman Verma,East,Contract Review,70,265.0
DEAL-0115,"Bir, Mody and Malhotra",Retail,Referral,177914.93,Prospecting,2023-10-21,2024-01-03,Karan Mehta,West,Contract Review,100,74.0
DEAL-0624,Badal-Babu,IT Services,Referral,229384.42,Closed Won,2023-11-15,2024-04-27,Priya Nair,East,Follow Up Call,30,164.0
DEAL-0209,Deshpande Group,Logistics,Partner,144759.6125,Closed Won,2023-12-08,2024-04-21,Priya Nair,South,,100,135.0
DEAL-0261,"Dhillon, Cheema and Lala",FinTech,Cold Outreach,107044.43,Prospecting,2023-02-25,2023-06-23,Riya Sharma,South,,80,118.0
DEAL-0093,Issac Group,EdTech,Cold Outreach,83039.86,Closed Won,2023-01-24,2023-06-23,Neha Gupta,South,Stakeholder Meeting,60,150.0
DEAL-0008,Dada-Dave,Retail,Linkedin,178837.42,Proposal Sent,2022-04-15,,Deepak Rao,South,,30,
DEAL-0526,"Raj, Guha and Goyal",Retail,Cold Outreach,224067.89,Proposal Sent,2022-07-21,2022-11-04,Aman Verma,West,Follow Up Call,100,106.0
DEAL-0378,Viswanathan-Iyer,Manufacturing,Linkedin,172902.42,Discovery,2022-03-12,2022-05-19,Neha Gupta,South,Contract Review,100,68.0
DEAL-0519,"Purohit, Mistry and Misra",IT Services,Website,160535.93,Qualified,2023-12-27,2024-10-02,Arjun Pillai,North,Schedule Demo,40,280.0
DEAL-0400,Bhatnagar-Shankar,Retail,Event,49082.17,Proposal Sent,2023-07-21,2023-10-10,Riya Sharma,North,Schedule Demo,20,81.0
DEAL-0362,"Bal, Khatri and Korpal",Retail,Cold Outreach,98100.0,Proposal Sent,2022-04-11,2023-02-24,Karan Mehta,South,Follow Up Call,80,319.0
DEAL-0205,Babu Inc,EdTech,Linkedin,103519.63666666666,Prospecting,2023-09-14,2024-01-31,Arjun Pillai,South,Technical Eval,60,139.0
DEAL-0141,Srinivas LLC,FinTech,Inbound,17437.53,Qualified,2023-03-09,,Aman Verma,North,Pricing Discussion,100,
DEAL-0029,Khare and Sons,SaaS,Website,131935.02,Proposal Sent,2023-04-05,2023-06-08,Karan Mehta,West,Pricing Discussion,100,64.0
DEAL-0044,Bhatti-D’Alia,EdTech,Inbound,56648.05,Negotiation,2022-04-10,2022-06-24,Aman Verma,West,Contract Review,80,75.0
DEAL-0043,Uppal-Gulati,EdTech,Partner,193900.48,Closed Won,2023-01-25,2023-03-31,Neha Gupta,North,Contract Review,50,65.0
